Kapitel;Datenfeld;"Pflicht
(jeweils bezogen auf das zugehörige Kapitel)";MIND-Kapitel;DIVI-Kapitel;Zugehörigkeit DIVI-MIND;Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Ausprägung;"MIND-
Teildatensatz Notarzt (NA) Rettungsdienst (RD)";Erläuterungen;Hinweise /Plausibilitäten/Abhängigkeiten;techn. Default MIND;In FHIR umgesetzt?;Anmerkung zur Umsetzung
RDMassnahmen;ZugangArtSonstige;Nein;;Massnahmen;D;M;Text, Zeichenlimit 50;;Name eines in der Werteliste nicht aufgeführten, vom Dokumentierenden bzw. in seiner Verantwortung gelegten Gefäß-Zuganges;"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangOrt;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;"Werteliste der Orte, an denen die vom Dokumentierenden bzw. in seiner Verantwortung gelegten Gefäß-Zugänge in
den Patienten eingebracht wurden";"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangOrtSonstige;Nein;;Massnahmen;D;M;Text, Zeichenlimit 50;;Name eines Ortes, der in der Liste der Gefäß-Zugangs-Lokalisation nicht aufgeführt wird, an dem vom Dokumentierenden bzw. in seiner Verantwortung ein Gefäß-Zugänge gelegt wurde;"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangSeite;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;"Körperseite an der der Zugang eingebracht wurde
bei unpaariger Zugangsoption (z.B. Kopf) wird 03 gewählt";"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangGroesse;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Größe des dokumentierten Zuganges;"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangGroesseSonstige;Nein;;Massnahmen;D;M;Text, Zeichenlimit: 50, Einheit: G (Durchmesser);;Größe des dokumentierten Zuganges falls in der Liste ZugangGröße nicht aufgeführt;"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangAnzahl;Nein;;Massnahmen;D;M;Zahl, Format nn;;Anzahl vom Dokumentierenden gelegte Zugänge insgesamt;"* gemeinsame Wertepaare
Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.";;;
RDMassnahmen;ZugangErschwert;Nein;;Massnahmen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zum erschwerten endotrachealzugang;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;Beatmung;Nein;;Massnahmen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste zur Art der Beatmung;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;BeatmungFiO2;Nein;;Massnahmen;D;E;Zahl;;maximale O2-Konzentration bei Beatmung während des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;BeatmungAF;Nein;;Massnahmen;D;E;Zahl;;Maximale Atemfrequenz bei Beatmung (assistiert oder kontrolliert) während des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;BeatmungAMV;Nein;;Massnahmen;D;E;Zahl, L/Min;;Maximales Atemminutenvolumen bei Beatmung während des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;BeatmungPEEP;Nein;;Massnahmen;D;E;Zahl, mBar;;Maximaler PEEP bei Beatmung während des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;BeatmungPmax;Nein;;Massnahmen;D;E;Zahl, mBar;;Maximaler Spitzendruck bei Beatmung während des Einsatzes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;DefiArtGeraet;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste für die Art der eingesetzten Defibrillatoren;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;DefiSchockZ1;Nein;;Massnahmen;D;E;Angabe von Datum und Uhrzeit;;Zeitpunkt der ersten Schockapplikation;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;DefiSchockAnzahl;Nein;;Massnahmen;D;E;Zahl, Format nn;;Anzahl der abgegebenen Schocks (Kardioversion plus Defibrillation);Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;DefiSchockEnergie;Nein;;Massnahmen;D;E;"Zahl, Format nnn
Werteliste siehe Tabellenblatt Codes_DIVI";;Maximale Energie der abgegebenen Schocks;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;MassnahmenWeitere;Nein;;Massnahmen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Weitere durchgeführte Maßnahmen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;MassnahmenLagerungSonstige;Nein;;Massnahmen;D;E;Text, Zeichenlimit 200;;Lagerungsmethoden bzw. eingesetzte Lagerungshilfsmitteln;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;MassnahmenSpritzenpumpenAnzahl;Nein;;Massnahmen;D;E;Zahl, Format nn;;Anzahl eingesetzter Spritzenpumpen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;MassnahmenSonstige;Nein;;Massnahmen;D;E;Text, Zeichenlimit 200;;Weitere eingesetzte Massnahmen, die in den Wertelsiten und Feldern im Massnahmen-Kapitel nicht vorgesehen sind.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RDMassnahmen;DurchfHeilkundlMassnText;Nein;;Medikation;D;E;Text, Zeichenlimit 200;;Medikation, die im Rahmen der Durchführung heilkundlicher Maßnahmen vom Rettungsdienst ohne Arzt gegeben wurde;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: MedikamentoeseTherapie;Kapitel: MedikamentoeseTherapie;;;;;;;;"Pflicht für NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat - außer wenn es sich um eine primäre
Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterstützung eines anderen Rettungsmittels handelt.
Pflicht für RD Protokolle, wenn ein Patientenkontakt stattgefunden hat - außer wenn es sich um einen Krankentransport, eine primäre Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterstützung eines anderen Rettungsmittels handelt oder ein physisch anwesender NA primär mitalarmiert oder nachgefordert wurde.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER 06 ODER  07 ODER  08
ODER 09 ODER  98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER 08)
ODER
Protokolltyp GLEICH  RD
UND RDTransport GLEICH  (01 ODER  03 ODER  04 ODER 05
ODER  06 ODER  07 ODER 08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)
UND NotarztNachgefordert GLEICH  02
UND  EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)";;;
MedikamentoeseTherapie;Medikamentengabe;Ja;MedikamentoeseTherapie;Medikation;DM;M;"Medikamentencodes für Art des Medikaments und Applikationsweg
Werteliste siehe Tabellenblatt Codes";NA + RD;"Nur einsatzrelevante Medikamente dokumentieren.
Auch eine Vorbehandlung durch Andere soll dokumentiert werden, da diese für verschiedene Indikatoren relevant sein kann (für jede Medikamenten-Gruppe separat dokumentierbar).
Dauermedikation und Verabreichung durch Andere (Hausarzt, andere Rettungsmittel etc.): nn97xx";"Wenn Kapitel ""MedikamentoeseTherapie"" Pflicht, dann ist -2 unzulässig. Kombinationen mit 999999 sind unzulässig.";-2;T;Terminologie: mind-medikamentengabe-cs (alle Gruppen inkl. Applikationsart io/iv/sc, nn97xx) / MindMedikamentengabeVS. Noch kein Profil. Hinweis: Urapidil #1509io und Thrombolytika #2601-2603 per Spez-TODO.
MedikamentoeseTherapie;Infusionsgabe;Ja;MedikamentoeseTherapie;Medikation;DM;M;"Medikamentencodes für Art der Infusion und
Applikationsweg
Werteliste siehe Tabellenblatt Codes";NA + RD;"Nur einsatzrelevante Medikamente dokumentieren
Dauermedikation und Verabreichung durch Andere (Hausarzt, andere Rettungsmittel etc.): nn97xx";"Wenn Kapitel ""MedikamentoeseTherapie"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit 999999 sind unzulässig.";-2;T;"Infusionsgabe über Kombinationscodes (z. B. 3001io) im mind-medikamentengabe-cs; MindInfusionsgabeVS definiert. Noch kein Profil."
MedikamentoeseTherapie;MedikamentengabeDosis;Nein;;Medikation;D;M;Text, Zeichenlimit 20;;Dosis der Medikamentengabe inklusive Einheit;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
MedikamentoeseTherapie;InfusionsgabeMenge;Nein;;Medikation;D;M;Text, Zeichenlimit 20;;Menge der Infusionsgabe in ml;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
MedikamentoeseTherapie;Lysetherapie;Nein;;Medikation;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Werteliste;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
MedikamentoeseTherapie;LysetherapieBeginn;Nein;;Medikation;D;E;Angabe von Datum und Uhrzeit;;Datum und Uhrzeit - wenn Lysetherapiebeginn nicht bekannt leer;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: AbschlussBefundeBT;Kapitel: AbschlussBefundeBT;;;;;;Abschlussbefunde bei Transport;;"Pflicht für NA-Protokolle, wenn ein Patiententransport stattgefunden hat. Sofern der dokumentierende NA den Transport nicht begleitet, müssen die Befunde zum Zeitpunkt der Übergabe an das andere Rettungsmittel dokumentiert werden (d.h. für Feld OrtPatUeberg i.d.R. 15 = Einsatzstelle).
Pflicht für RD-Protokolle, wenn ein Patiententransport stattfindet und der Transport nicht durch einen physisch anwesenden Notarzt, sondern allenfalls durch einen Telenotarzt begleitet wird und es sich nicht um einen Krankentransport handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER 07 ODER  08 ODER  09 ODER 98)
ODER
Protokolltyp GLEICH  RD
UND RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER 98)
UND AerztlBegleit ENTHÄLT  (00 ODER 03)
UND AerztlBegleit ENTHÄLT NICHT  (01 ODER 02 ODER  04
ODER 05 ODER 98)
UND EinsatzArt NICHT  10";;;
AbschlussBefundeBT;Bewusstsein2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Bewusstseinslage
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-bewusstseinslage-cs / MindBewusstseinslageVS. Noch kein Profil.
AbschlussBefundeBT;GlasgowComaScale2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Glasgow Coma Scale
Werteliste siehe Tabellenblatt Codes";NA + RD;Bei Seitendifferenz bessere Seite.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;;
AbschlussBefundeBT;NeurologischeAuffaelligkeiten2;Ja;AbschlussBefundeBT;Uebergabe;DM;M;"Neurologische Auffälligkeiten
Werteliste siehe Tabellenblatt";NA + RD;"• sNIHSS-EMS Items und BEFAST werden abgebildet.
• die Dokumentation von Schweregraden und der Körperseite ist im MIND nicht vorgesehen";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit 00, -1 oder 99 sind unzulässig.";-2;T;Terminologie: mind-neurologische-auffaelligkeit-cs (Abschlussbefunde). Noch kein Profil.
AbschlussBefundeBT;SystolischerBlutdruck2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Systolischer Blutdruck
Messwert in mmHg
Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet RR-Messung durchgeführt, wenn Angabe im Wertebereich oder 999.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;;
AbschlussBefundeBT;EKGBefund2;Ja;AbschlussBefundeBT;Uebergabe;DM;M;"EKG-Befund
Werteliste siehe Tabellenblatt Codes";NA + RD;"Sollten bei Erhebung der Abschlussbefunde mehrere Befunde zutreffen, ist eine Mehrfachauswahl möglich (hier sollen
keine Ausprägungen dokumentiert werden, die vorher im Verlauf des rettungsdienstlichen Einsatzes zutreffend waren und nicht mehr vorhanden sind!).
Für QS wird EKG als durchgeführt gewertet, wenn Angabe ungleich -1.";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig
Kombinationen mit -1 oder 99 sind unzulässig.";-2;T;Terminologie: mind-ekg-befund-cs / MindEkgbefundVS. Noch kein Profil.
AbschlussBefundeBT;Herzfrequenz2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Herzfrequenz
Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;"Vom Monitor abgelesene Herzfrequenz pro Minute (ggf. palpatorisch oder pulsoximetrisch bestimmte Pulsfrequenz,
wenn kein EKG abgeleitet wurde).";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.
Wenn EKGBefund2 GLEICH  09, dann sind Werte GRÖSSER  0 unzulässig.";-2;;
AbschlussBefundeBT;Atemfrequenz2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Atemfrequenz Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Ausgezählte oder vom Monitor abgelesene Atemfrequenz pro Minute.;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.  Wenn Atmung2 GLEICH  08, dann sind Werte GRÖSSER  0 unzulässig.";-2;;
AbschlussBefundeBT;Sauerstoffsaettigung2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Sauerstoffsättigung Messwert in %
Werteliste siehe Tabellenblatt Codes";NA + RD;"Dieser Wert wird ggf. unter Sauerstofftherapie gemessen
Bedeutet Pulsoxymetrie durchgeführt, wenn Angabe im Wertebereich oder 999.";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;;
AbschlussBefundeBT;Schmerzempfinden2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Schmerzempfinden nach Numerischer Rating Scala (NRS)
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;;
AbschlussBefundeBT;Atmung2;Ja;AbschlussBefundeBT;Uebergabe;DM;M;"Klinische Befunde Atmung
Werteliste siehe Tabellenblatt Codes";NA + RD;"Sollten bei Erhebung der Abschlussbefunde mehrere Befunde zutreffen, ist eine Mehrfachauswahl möglich (hier sollen keine Ausprägungen dokumentiert werden, die vorher im Verlauf des rettungsdienstlichen Einsatzes zutreffend waren
und nicht mehr vorhanden sind!).";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1, 00 oder 99 sind unzulässig.";-2;T;Terminologie: mind-atmung-cs / MindAtmungVS. Noch kein Profil.
AbschlussBefundeBT;Psyche2;Ja;AbschlussBefundeBT;Uebergabe;DM;M;"Psychischer Zustand
Werteliste siehe Tabellenblatt Codes";;"Sollten bei Erhebung der Abschlussbefunde mehrere Befunde zutreffen, ist eine Mehrfachauswahl möglich (hier sollen
keine Ausprägungen dokumentiert werden, die vorher im Verlauf des rettungsdienstlichen Einsatzes zutreffend waren und nicht mehr vorhanden sind!).";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1, 00 oder 99 sind unzulässig.";-2;T;Terminologie: mind-psychischer-zustand-cs / MindPsychischerZustandVS. Noch kein Profil.
AbschlussBefundeBT;Pupillenweite2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Pupillenweite
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-pupillenweite-cs / MindPupillenweiteVS. Noch kein Profil.
AbschlussBefundeBT;Lichtreaktion2;Ja;AbschlussBefundeBT;Uebergabe;DM;E;"Lichtreaktion
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-lichtreaktion-cs / MindLichtreaktionVS. Noch kein Profil.
AbschlussBefundeBT;SoSiTransport;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";AbschlussBefundeBT;Einsatzverlauf;DM;E;"Sondersignal bei Transport:
Werteliste siehe Tabellenblatt Codes";NA + RD;"Sondersignalverwendung des transportierenden Rettungsmittels. Bei Patiententransport durch Hubschrauber: 01 = Ja
Pflicht für NA-Protokolle, wenn ein Patiententransport stattgefunden hat, der durch den dokumentierenden NA begleitet wurde.
Pflicht für RD-Protokolle, wenn ein Patiententransport stattfindet und der Transport nicht durch einen physisch anwesenden Notarzt, sondern allenfalls durch einen Telenotarzt begleitet wird und es sich nicht um einen Krankentransport handelt.";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.
Pflicht wenn:
Protokolltyp GLEICH  NA
UND DokRM GLEICH (01 ODER 04 ODER 07 ODER 13)
UND RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER 09 ODER  98)
UND AerztlBegleit GLEICH  01
ODER
Protokolltyp GLEICH  NA
UND DokRM GLEICH  (05 ODER 06)
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER 09 ODER  98)
UND  AerztlBegleit GLEICH  02
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER 08 ODER  09 ODER  98)
UND AerztlBegleit ENTHÄLT  (00 ODER 03)
UND AerztlBegleit ENTH ÄLT NICHT  (01 ODER  02 ODER  04
ODER 05 ODER  98)
UND  EinsatzArt NICHT  10";-2;;
AbschlussBefundeBT;OrtPatUeberg;Ja;AbschlussBefundeBT;Uebergabe;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Der Ort, an dem der Patient primär übergeben wird. Sollten mehrere Auswahlmöglichkeiten zutreffen, ist die für die Weiterversorgung des jeweiligen Patienten spezifischste anzugeben. Sofern der dokumentierende NA den Transport nicht begleitet, ist i.d.R.
15 = Einsatzstelle zutreffend.";"Wenn Kapitel ""AbschlussbefundeBT"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-ort-patientenuebergabe-cs / MindOrtPatientenuebergabeVS. Noch kein Profil.
AbschlussBefundeBT;ZeitWerte2;Nein;;Uebergabe;D;E;Angabe von Datum und Uhrzeit;;Zeit zu der begonnen wurde, die die abschließenden Werte des Kapitels AbschließendeMesswerteNeuro erfasst wurden;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;NeurologieVerlauf;Nein;;Uebergabe;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: Werteliste zum Neurologischen Verlauf;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;T;Terminologie: mind-neurologische-auffaelligkeit-verlauf-cs / MindNeurologischeAuffaelligkeitVerlaufVS. Noch kein Profil.
AbschlussBefundeBT;GCSWert2;Nein;;Uebergabe;D;E;Zahl;;Abschließende Werte: GCS-Summe;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;NeurologischeAuffaelligkeitenSonstige2;Nein;;Uebergabe;D;E;Text, Zeichenlimit 200;;Abschließende Werte: Text für sonstige neurologische Auffälligkeiten, die im strukturierten Bereich nicht erfasst werden können.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;ExtremitaetenbewegungArmRechts2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: GCS-Stadium für Beste motorische Reaktion am rechten Arm;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;ExtremitaetenbewegungArmLinks2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: GCS-Stadium für Beste motorische Reaktion am linken Arm;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;ExtremitaetenbewegungBeinRechts2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: GCS-Stadium für Beste motorische Reaktion am rechten Bein;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;ExtremitaetenbewegungBeinLinks2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: GCS-Stadium für Beste motorische Reaktion am linken Bein;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;PupillenweiteRechts2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: Beurteilung der Pupillenweite rechts;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;PupillenweiteLinks2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: Beurteilung der Pupillenweite links;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;LichtreaktionRechts2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: Beurteilung der Lichtreaktion rechts;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;LichtreaktionLinks2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: Beurteilung der Lichtreaktion links;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;DiastolischerBlutdruck2;Nein;;Uebergabe;D;E;"Zahl
Werteliste siehe Tabellenblatt Codes_DIVI";;Abschließende Werte: Diastolischer Blutdruck;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;SauerstoffsaettigungRaumluft2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: wurde die Sättigung unter Raumluft gemessen?;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;HerzfrequenzRhythmisch2;Nein;;Uebergabe;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: waren die Herzraktionen rhythmisch?;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;OrtPatUebergSonstige;Nein;;Bemerkungen;D;E;Text, Zeichenlimit 200;;Abschließende Werte: wo fand die Patientenübergabe statt?;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;UebergVerzoegert;Nein;;Bemerkungen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Abschließende Werte: wurde die Patientenübergabe verzögert?;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;UebergName;Nein;;Bemerkungen;D;E;Text, Zeichenlimit 75;;Abschließende Werte: Klarname der Person, an die die Patientin/der Patient übergeben wurde;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
AbschlussBefundeBT;Bemerkungen;Nein;;Bemerkungen;D;E;Langtext, Zeichenlimit 2000;;Abschließende Werte: Bemerkungen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: AbschlussBefundeBTAV;Kapitel: AbschlussBefundeBTAV;;;;;;Abschlussbefunde bei Transport und ambulanter Versorgung;;"Pflicht für NA- und RD-Protokolle, wenn die Diagnose Hypoglykämie gestellt wurde oder wenn eine Atemwegssicherung
oder eine maschinelle invasive Beatmung (unterstützt oder kontrolliert)  stattgefunden hat";"Pflicht wenn:
Airway GLEICH (03 ODER 05 ODER  07)
ODER Atemunterst GLEICH  05
ODER
Diagnose ENTHÄLT  1601 (Hypoglykämie)";;;
AbschlussBefundeBTAV;Blutzuckerwert2;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;;;M;E;"Blutzucker
Messwert in mg/dl bzw. mmol/l Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet Blutzuckermessung durchgeführt, wenn Angabe im Wertebereich, 997, 998 oder 999;"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Bei Auswahl 0 bis 900 bzw. 0.0 bis 50.0 wird BlutzuckerEinheit zum Pflichtfeld Pflicht wenn:
Diagnose ENTHÄLT  1601
Wenn Blutzuckerwert2 Pflicht, dann ist -2 unzulässig.";-2;;
