Kapitel-/Feldname;"Pflicht
(jeweils bezogen auf das zugehˆrige Kapitel)";Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Auspr‰gung;Teildatensatz Notarzt (NA) Rettungsdienst (RD);Erl‰uterungen;Hinweise /Plausibilit‰ten/Abh‰ngigkeiten;techn. Default MIND;
KeinTranspOhnePat;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"Grund f¸r Einsatz ohne Transport, da kein Patientenkontakt
Werteliste siehe Tabellenblatt Codes";NA + RD;"Pflicht f¸r Eins‰tze ohne Transport wegen fehlendem Patientenkontakt
nur f¸r Eins‰tze ohne Patientenkontakt; nicht f¸r Eins‰tze mit Patientenkontakt ohne Patiententransport (diese m¸ssen unter KeinTranspMitPat dokumentiert werden)
Die Dokumentation ¸ber das Vorliegen eines Einsatzes ohne Transport aufgrund fehlenden Patientenkontakts erfolgt in Kombination mit dem Feld RDTransport (02 = kein Patiententransport, da kein Patientenkontakt).";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Pflicht wenn:
RDTransport GLEICH  02
Wenn RDTransport NICHT  02, sind s‰mtliche Inhalte in KeinTranspOhnePat auﬂer -2 unzul‰ssig.";-2;
DokRM;Ja;E;Rettungsmitteltyp des dokumentierenden Rettungsmittels Werteliste siehe Tabellenblatt Codes;NA + RD;Codierung des Rettungsmittels, welches den Einsatz abwickelt und dokumentiert.;"Wenn Protokolltyp NA dann sind DokRM  GLEICH  (02 ODER  03 ODER  10 ODER  11 ODER  12 ODER  15 ODER  17
ODER  18 ODER  20) unzul‰ssig
Wenn Protokolltyp RD dann sind DokRM  GLEICH  (01 ODER  04 ODER  05 ODER  06 ODER  07 ODER  08 ODER  09
ODER  13 ODER  14 ODER  16 ODER  19) unzul‰ssig.";;
BeteilRM;Nein;M;"Rettungsmitteltyp/en des/der beteiligten Rettungsmittel/s
Werteliste siehe Tabellenblatt Codes";NA + RD;Codierung der am Einsatz beteiligten Rettungsmittel Wird in der Regel durch die Leitstelle dokumentiert.;;-2;
AerztlQualifikation;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;M;"Fachrichtung/Qualifikation des Notarztes/Transportarztes
Werteliste siehe Tabellenblatt Codes";NA;"Pflicht f¸r NA-Protokolle, auﬂer f¸r Dienstfahrten oder Pauseneins‰tze
Es ist immer die Fachrichtung/Qualifikation des dokumentierenden Arztes einzutragen";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  EinsatzArt NICHT  (11 ODER  12)";-2;
StatusPersonal;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"Status des Personals
Werteliste siehe Tabellenblatt Codes";NA + RD;"Qualifikation des hˆchstqualifizierten Mitarbeiters auf dem Rettungsmittel. Beim notarztbesetzten Rettungsmittel die des Notarztes, beim nicht NA-besetzten Rettungsmittel die des Rettungsdienstmitarbeitenden.
Pflicht, auﬂer f¸r Dienstfahrten und Pauseneins‰tze";"Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)";-2;
Kapitel: ZeitenEinsatzablauf;;;;;;dieses Kapitel ist immer Pflicht;;
Einsatzdatum;Ja;E;Einsatzdatum;NA + RD;Einsatzdatum bezieht sich auf den Zeitpunkt der Alarmierung.;;;
SymptombeginnVor24h;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"Bestehen die Symptome l‰nger als 24 Stunden oder ist dies unbekannt?
Werteliste siehe Tabellenblatt Codes";NA + RD;"Pflicht f¸r NA-Protokolle bei Prim‰reins‰tzen, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um eine prim‰re Todesfeststellung (ohne CPR) oder eine Hilfeleistung oder eine Unterst¸tzung eines anderen RM handelt.
Pflicht f¸r RD-Protokolle bei Prim‰reins‰tzen ohne erkennbare Beteiligung eines physisch anwesenden NA, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um eine prim‰re Todesfeststellung (ohne CPR) oder eine Hilfeleistung oder eine Unterst¸tzung eines anderen RM handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  EinsatzArt GLEICH  (01 ODER  03)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  EinsatzArt GLEICH  (02 ODER  04)
UND  NotarztNachgefordert GLEICH  02
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)";-2;
Symptombeginn;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Ereigniszeitpunkt, Unfallzeitpunkt, Kollapszeitpunkt, Zeitpunkt Symptom-/Beschwerdebeginn;NA + RD;Wenn der Symptombeginn bzw. Unfall-/Ereignis-/Kollapszeitpunkt (bekannt oder gesch‰tzt) innerhalb von 24 Stunden vor Alarmierung liegt, ist die Uhrzeit hier anzugeben.;"Pflicht wenn:
SymptombeginnVor24h GLEICH  02
UND  EinsatzArt NICHT  (11 ODER  12)";"1902-02-
02T22:00:
00.000+0
1:00";
SymptombeginnGesichert;"siehe Hinweise/
Plausibilit‰ten/ Abh‰ngigkeiten";E;"Ist der Symptombeginn gesichert oder gesch‰tzt?
Werteliste siehe Tabellenblatt Codes";NA + RD;"Gibt es belastbare Angaben zum Symptombeginn durch Patienten, Angehˆrige, Zeugen, etc.?
Pflicht, wenn Symptombeginn innerhalb der letzten 24 Stunden.";"Pflicht wenn:
SymptombeginnVor24h GLEICH  02
UND  EinsatzArt NICHT  (11 ODER  12)";-2;
ZeitNotfallmeldung;Nein;E;Zeitpunkt Eingang Notfallmeldung in LST;NA + RD;Definition: Zeitpunkt des Anrufes (Aufschaltzeitpunkt aus Leitstellen-Datensatz) Wird in der Leitstelle dokumentiert.;;"1902-02-
02T22:00:
00.000+0
1:00";
ZeitAlarm;Nein;E;Zeitpunkt Alarm/Auftragsvergabe;NA + RD;Definition: Auslˆsung Alarm durch LST Wird in der Leitstelle dokumentiert.;;"1902-02-
02T22:00:
00.000+0
1:00";
ZeitAusruecken;Nein;E;Zeitpunkt Abfahrt/Abflug Standort Status 3;NA + RD;Definition: Ausr¸cken des einsatzklaren Rettungsmittels (Besatzung komplett!) Wird in der Leitstelle dokumentiert.;;"1902-02-
02T22:00:
00.000+0
1:00";
ZeitAnkunftEinsatzort;Nein;E;Zeitpunkt Ankunft Einsatzort Status 4;NA + RD;Definition: Ankunft des dokumentierenden RM am Einsatzort. Wird in der Leitstelle dokumentiert.;;"1902-02-
02T22:00:
00.000+0
1:00";
ZeitAnkunftPatientPatientenkontakt;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Zeitpunkt Ankunft Patient;NA + RD;"Definition: Ankunft der Rettungsmittelbesatzung beim Patienten bzw. Beginn der ‹bernahme des Patienten bei Sekund‰reins‰tzen.
Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um eine Hilfeleistung oder die Unterst¸tzung eines anderen RM handelt.
Pflicht f¸r RD-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um einen Krankentransport oder um eine Hilfeleistung oder die Unterst¸tzung eines anderen RM handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND NICHT  (EinsatzArt GLEICH  10
ODER  KeinTranspMitPat GLEICH  [05 ODER  08])";"1902-02-
02T22:00:
00.000+0
1:00";
ZeitTransportbeginn;Nein;E;Zeitpunkt Transportbeginn Status 7;NA + RD;Definition: Beginn des Patiententransportes. Wird in der Leitstelle dokumentiert.;;"1902-02-
02T22:00:
00.000+0
1:00";
ZeitEintreffenTransportziel;Nein;E;Zeitpunkt Eintreffen Transportziel Status 8;NA + RD;Definition: Fahrzeug trifft am Transportziel ein Wird in der Leitstelle dokumentiert.;;"1902-02-
02T22:00:
00.000+0
1:00";
ZeitUebergabePatient;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;‹bergabe des Patienten an Weiterbehandler;NA + RD;"Definition: ‹bergabe an Personal der Zielklinik/Praxis oder ‹bergabe an anderes Rettungsmittel (‹bergang der Verantwortung f¸r den Patienten).
Bei Eins‰tzen ohne Patiententransport optional als Abschluss der Behandlung.
Pflicht f¸r NA-Protokolle, wenn ein Patiententransport stattgefunden hat (‹bergabezeitpunkt an Klinik bzw. an anderes transportierendes RM, wenn dokumentierender NA den Transport nicht begleitet)
Pflicht f¸r RD-Protokolle, wenn ein Patiententransport durch das dokumentierende RM stattgefunden hat
und keine not‰rztliche Begleitung erfolgt bzw. die Begleitung ausschlieﬂlich durch einen TNA durchgef¸hrt wurde.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  AerztlBegleit ENTHƒLT  (00 ODER  03)
UND  AerztlBegleit ENTHƒLT NICHT  (01 ODER  02 ODER  04
ODER  05 ODER  98)";"1902-02-
02T22:00:
00.000+0
1:00";
ZeitEinsatzende;Ja;E;Zeitpunkt Einsatzende;NA + RD;Definition: Einsatz ist abgeschlossen (inkl. aller mit dem Einsatz zusammenh‰ngenden Arbeiten wie z.B. Desinfektionst‰tigkeiten und Dokumentation).;;;
Kapitel: Patientendaten;;;;;"Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt.
Pflicht f¸r RD-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich beim dokumentierenden Rettungsmittel um einen Krankentransport, eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER  06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  NICHT  (EinsatzArt GLEICH  10
ODER  KeinTranspMitPat GLEICH  [05 ODER  08])";;
Alter;Ja;E;"Alter des Patienten
Werteliste siehe Tabellenblatt Codes";NA + RD;"Spezifische Dokumentation f¸r Kinder unter einem Monat (siehe Codes)
Angabe in vollendeten Jahren und Lebensmonaten (Bezugspunkt ist die Eintreffzeit).
Ab dem 29. Lebenstag gilt der erste Lebensmonat als vollendet. In diesem Fall ist der Wert 000:01 zu ¸bermitteln
Wenn das Alter nicht bekannt ist, soll es gesch‰tzt werden. Auch in seltenen F‰llen, wenn die Sch‰tzung des Alters schwierig ist, soll trotzdem eine grobe Vermutung dokumentiert werden";"Wenn Kapitel ""Patientendaten"" Pflicht, dann ist 222:00 unzul‰ssig.";222:00;
ValiditaetAlter;Ja;E;"Ist das Alter gesichert oder gesch‰tzt?
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""Patientendaten"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Geschlecht;Ja;E;"Geschlecht des Patienten
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""Patientendaten"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Kapitel: ErsteMesswerteUndBefunde;;;Erste gemessenene Werte bzw. erste erhobene Befunde;;"Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt.
Pflicht f¸r RD-Protokolle, wenn ein Patientenkontakt stattgefunden hat, auﬂer wenn es sich um einen Krankentransport, eine Hilfeleistung, eine Unterst¸tzung eines anderen Rettungsmittels oder um eine Verlegung mit physisch anwesendem Notarzt handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (05 ODER  08)
UND  EinsatzArt NICHT  (05 ODER  07 ODER  10)";;
Bewusstsein1;Ja;E;"Bewusstseinslage
Werteliste siehe Tabellenblatt Codes";NA + RD;Es ist die jeweils beste Auspr‰gung zu w‰hlen;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
GlasgowComaScale1;Ja;E;"Glasgow Coma Scale
Werteliste siehe Tabellenblatt Codes";NA + RD;Bei Seitendifferenz bessere Seite;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
NeurologischeAuffaelligkeiten1;Ja;M;"Neurologische Auff‰lligkeiten
Werteliste siehe Tabellenblatt";NA + RD;"ï sNIHSS-EMS Items und BEFAST werden abgebildet.
ï die Dokumentation von Schweregraden und der Kˆrperseite ist im MIND nicht vorgesehen";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit 00, -1 oder 99 sind unzul‰ssig.";-2;
SystolischerBlutdruck1;Ja;E;"Systolischer Blutdruck Messwert in mmHg
Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet RR-Messung durchgef¸hrt, wenn Angabe im Wertebereich oder 999.;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
EKGBefund1;Ja;M;"EKG-Befund
Werteliste siehe Tabellenblatt Codes";NA + RD;"Hier sollen nur die Auspr‰gungen dokumentiert werden, die zum Zeitpunkt der ersten Untersuchung zutreffend waren (nicht diejenigen im weiteren Verlauf).
F¸r QS wird EKG als durchgef¸hrt gewertet, wenn Angabe ungleich -1.";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 oder 99 sind unzul‰ssig.";-2;
Herzfrequenz1;Ja;E;"Herzfrequenz Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Vom Monitor abgelesene Herzfrequenz pro Minute (ggf. palpatorisch oder pulsoximetrisch bestimmte Pulsfrequenz, wenn kein EKG abgeleitet wurde).;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Werte GR÷SSER  0 bei EKGBefund1 GLEICH  09 sind unzul‰ssig.";-2;
Atemfrequenz1;Ja;E;"Atemfrequenz Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Ausgez‰hlte oder vom Monitor abgelesene Atemfrequenz pro Minute.;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Werte GR÷SSER  0 bei Atmung1 GLEICH  08 sind unzul‰ssig.";-2;
Sauerstoffsaettigung1;Ja;E;"Sauerstoffs‰ttigung Messwert in %
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Pulsoxymetrie durchgef¸hrt, wenn Angabe im Wertebereich oder 999.
Der Erstbefund der Sauerstoffs‰ttigung sollte mˆglichst vor Therapie mit Sauerstoff ermittelt werden.";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Rekapillarisierungszeit;Ja;E;"Rekapillarisierungszeit Messwert in s
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Schmerzempfinden1;Ja;E;"Schmerzempfinden nach Numerischer Rating Scala (NRS)
Werteliste siehe Tabellenblatt Codes";NA + RD;Erstbefund des Schmerzempfindens vor dem Einleiten von Maﬂnahmen.;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Wenn Bewusstsein1 GLEICH  05, dann ist Schmerzempfinden GLEICH  (01 bis 10) unzul‰ssig.";-2;
Schmerzerleben;Nein;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Mit dem Schmerzerleben soll der subjektive Bedarf eines Patienten nach einer Schmerztherapie zum Ausdruck
gebracht werden und damit deren Indikation dokumentiert werden.";;-2;
Blutzuckerwert1;Ja;E;"Blutzucker
Messwert in mg/dl bzw. mmol/l
Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet Blutzuckermessung durchgef¸hrt, wenn Angabe im Wertebereich, 997, 998 oder 999;"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Bei Auswahl 0 bis 900 bzw. 0.0 bis 50.0 wird BlutzuckerEinheit zum Pflichtfeld Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
BlutzuckerEinheit;"siehe Hinweise/ Plausibilit‰ten/
Abh‰ngigkeiten";E;Werteliste siehe Tabellenblatt Codes;NA + RD;Ermˆglicht die Dokumentation der im jeweiligen Bundesland / Rettungsdienstbereich g¸ltigen Maﬂeinheit f¸r den Blutzuckerwert;"Pflicht wenn:
Blutzuckerwert1 ODER  Blutzuckerwert2 ENTHƒLT  (0 bis 900 bzw. 0.0 bis 50.0)";-2;
Temperatur;Ja;E;"Temperatur
Messwert in Grad Celsius
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Temperatur-Messung durchgef¸hrt, wenn Angabe im Wertebereich oder 99.9.
Keine explizite Ortsangabe, wenn mˆglich zentral (Tympanon)";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Atmung1;Ja;M;"Klinische Befunde Atmung
Werteliste siehe Tabellenblatt Codes";NA + RD;Hier sollen nur die Auspr‰gungen dokumentiert werden, die zum Zeitpunkt der ersten Untersuchung zutreffend waren (nicht diejenigen im weiteren Verlauf).;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1, 00 oder 99 sind unzul‰ssig.";-2;
Hautbefunde;Ja;M;"Hautbefunde
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1, 00 oder 99 sind unzul‰ssig.";-2;
Psyche1;Ja;M;"Psychischer Zustand
Werteliste siehe Tabellenblatt Codes";NA + RD;Hier sollen nur die Auspr‰gungen dokumentiert werden, die zum Zeitpunkt der ersten Untersuchung zutreffend waren (nicht diejenigen im weiteren Verlauf).;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1, 00 oder 99 sind unzul‰ssig.";-2;
Pupillenweite1;Ja;E;"Pupillenweite
Werteliste siehe Tabellenblatt Codes";NA + RD;Es ist die klinisch relevanteste Auspr‰gung zu dokumentieren;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Lichtreaktion1;Ja;E;"Lichtreaktion
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzul‰ssig.";-2;
EtCO2Wert1;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"erster gemessener etCO2  Wert (unter Beatmung in mmHg gemessen)
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Kapnometrie durchgef¸hrt, wenn Angabe im Wertebereich oder 999.
Pflicht, wenn eine Atemwegssicherung oder eine maschinelle invasive Beatmung (unterst¸tzt oder kontrolliert) dokumentiert ist .";"Pflicht wenn:
Airway GLEICH  (03 ODER  05 ODER 07)
ODER  Atemunterst GLEICH  05";-2;
Kapitel: ErstbefundeVerlegung;;;;;Pflicht f¸r NA-Protokolle, wenn eine Verlegung mit physisch anwesendem NA oder ein Intensivtransport stattfindet. (F¸r RD-Protokolle ist dieses Kapitel nie Pflicht.);"Die Abh‰ngigkeiten des gesamten Kapitels betreffen nur das Bundesland Baden-W¸rttemberg
Pflicht wenn:
Protokolltyp GLEICH  NA
UND  EinsatzArt GLEICH ( 05 ODER  07 ODER  09)";;
VBeatmung;Ja;E;"Beatmung (auﬂer Heimbeatmung)
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.";-2;
VBeatmungDetail;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"differenzierte Beatmung
Werteliste siehe Tabellenblatt Codes";NA;"Differenzierte Beatmung bedeutet FiO2 > 0,4.
Pflicht, wenn im Kapitel ""Erstbefunde Verlegung"" eine Beatmung dokumentiert wurde.";"Pflicht wenn:
VBeatmung GLEICH  01
Wenn VBeatmung GLEICH  01, dann ist -2 unzul‰ssig.";-2;
KatecholaminPflicht;Ja;E;"Katecholaminpflichtigkeit
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.";-2;
KatecholaminTherapie;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;"differenzierte Katecholamin-Therapie
Werteliste siehe Tabellenblatt Codes";NA;"Differenzierte Katecholamin-Therapie bedeutet mehr als ein Katecholamin.
Pflicht, wenn im Kapitel ""Erstbefunde Verlegung"" eine Katecholaminpflichtigkeit dokumentiert wurde.";"Pflicht wenn:
KatecholaminPflicht GLEICH  01
Wenn KatecholaminPflicht GLEICH  01, dann ist -2 unzul‰ssig.";-2;
FortlaufendSedierung;Ja;E;"fortlaufende Sedierung/Narkose
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.";-2;
VigilanzMinderung;Ja;E;"deutliche Vigilanzminderung mit Einschr‰nkung von Schutzreflexen
Werteliste siehe Tabellenblatt Codes";NA;Deutliche Vigilanzminderung mit Einschr‰nkung von Schutzreflexen gilt bei GCS < 9.;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.";-2;
InvasivBlutdruck;Ja;E;"invasive Blutdruckmessung
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.";-2;
SpezDevices;Ja;M;"spezielle Devices
Werteliste siehe Tabellenblatt Codes";NA;"Siehe Exporthinweise zu Option ""Sonstige"".";"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.
Kombinationen mit -1 sind unzul‰ssig.";-2;
AnzahlPerfusor;Ja;E;"Anzahl der Perfusoren
Einstellige numerische Angabe (0 bis 9)";NA;;"Wenn Kapitel ""ErstbefundeVerlegung"" Pflicht, dann ist -2 unzul‰ssig.";-2;
Kapitel: EinschaetzungVerlegungsarzt;;;;;"Pflicht f¸r NA-Protokolle, wenn laut Feld EinsatzArt eine Verlegung mit physisch anwesendem NA oder ein Intensivtransport stattfindet.
(F¸r RD-Protokolle ist dieses Kapitel nie Pflicht.)";"Die Abh‰ngigkeiten des gesamten Kapitels betreffen nur das Bundesland Baden-W¸rttemberg
Pflicht wenn:
Protokolltyp GLEICH  NA
UND  EinsatzArt GLEICH ( 05 ODER  07 ODER  09)";;
IndikationArztbegleitung;Ja;E;"Indikation Arztbegleitung gegeben
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""EinschaetzungVerlegungsarzt"" Pflicht, dann ist -2 unzul‰ssig.";-2;
ZDringlichkeit;Ja;E;"Einsch‰tzung der zeitlichen Dringlichkeit durch Transportarzt
Werteliste siehe Tabellenblatt Codes";NA;;"Wenn Kapitel ""EinschaetzungVerlegungsarzt"" Pflicht, dann ist -2 unzul‰ssig.";-2;
IndikationIT;Ja;M;Indikation Intensivtransport Werteliste siehe Tabellenblatt Codes;NA;"Siehe Exporthinweise zu Option ""Sonstige"".
Die Antwort NEIN ist implausibel, wenn im Kapitel ""ErstbefundeVerlegung"" sowohl eine Beatmung als auch eine Katecholaminpflichtigkeit dokumentiert sind.";"Wenn VBeatmung GLEICH  01 UND  KatecholaminPflicht GLEICH  01, dann ist Code 00 unzul‰ssig.
Wenn Kapitel ""EinschaetzungVerlegungsarzt"" Pflicht, dann ist -2 unzul‰ssig. Kombinationen mit 00 sind unzul‰ssig.";-2;
Kapitel: Diagnosen;;;;;"Pflicht f¸r NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat - auﬂer wenn es sich um eine prim‰re Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt.
Pflicht f¸r RD Protokolle, wenn ein Patientenkontakt stattgefunden hat - auﬂer wenn es sich um einen Krankentransport, eine prim‰re Todesfeststellung (ohne CPR), eine Hilfeleistung oder eine Unterst¸tzung eines anderen Rettungsmittels handelt oder ein physisch anwesender NA prim‰r mitalarmiert oder nachgefordert wurde.
Hinweis f¸r BW: Wenn eine Diagnose, f¸r die ein Indikator zur Eignung der Zielklinik oder zur leitliniengerechten Versorgung dieser Diagnose existiert, im Diagnosen-Feld dokumentiert ist, wird auch eine entsprechend geeignete Zielklinik und leitliniengerechte Versorgung erwartet. Eher unwahrscheinliche Differentialdiagnosen sollen im Freitext dokumentiert werden.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND   RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05
ODER  06 ODER  07 ODER  08
ODER  09 ODER  98)
UND  KeinTranspMitPat  NICHT (02 ODER  05 ODER  08)
UND  NotarztNachgefordert GLEICH  02
UND  EinsatzArt GLEICH  (02 ODER  04 ODER  06 ODER  08)";;
